Median, spread, 30ps median, 30ps spread, 50ps median, 50ps spread, 100ps median, 100ps spread
24.19203636715196, 1.1085672656124548, 24.037358396629703, 1.2146857366693207, 23.94123686729845, 1.5197333913802502, 23.757383039722317, 1.6519671667576121
48.95818466837915, 3.4576938841299656, 48.901876809130265, 3.610810339664847, 48.00979478743767, 5.1842319540944155, 47.96329206277507, 4.883280627263654
70.176567926064, 9.997438734879106, 71.95769234430479, 7.284839880330649, 68.6545441818431, 10.705926683923526, 73.18933261292699, 9.33345537166008
93.43254318840117, 12.297204131416485, 94.38567158352106, 13.079511593458703, 91.97444524162069, 13.346180927874343, 64.59109314204137, 12.258736244585823
117.5292285391774, 13.598523257048278, 118.05671923091364, 14.054395826888438, 114.41017534780016, 17.848608331849576, 110.47351564776388, 15.769065792433652
143.29749489080965, 16.81794160253459, 148.82302951318815, 10.615147668987447, 131.13388556981687, 16.26387673276575, 145.93059919371896, 23.829070399782644
155.4276331732521, 20.514853736397285, 160.66123131788854, 21.380347334943714, 155.98838704224596, 20.480833186988058, 31.96837999109124, 0.8942329851028344
185.83309206471165, 17.151179294758887, 191.14333417603507, 19.652123006630177, 192.77371939647358, 17.998040253280124, 183.95106262126578, 26.438879113054035
213.01921553683562, 22.773285352036424, 19.766925316330344, 0.0, 195.5652089533464, 24.109686296626744, 210.61493483459148, 26.323988988027427
233.33554614237565, 20.40858330065373, 243.1500899115303, 21.603206320490415, 237.1592559732502, 18.969769154210432, 241.10210851877204, 35.71526181593953
