Median, spread, 50ps median, 50ps spread, 100ps median, 100ps spread
24.489877750065197, 0.2747529202998171, 24.381455981060313, 0.3651914037457972, 24.40817155152192, 0.5676343383415084
49.88253882215092, 0.35758826463982724, 49.81818379597369, 1.221541136303773, 49.708260710520086, 2.052887162154592
75.1320226990987, 0.562661590928981, 75.13551454306823, 2.298998772380656, 75.0768793294741, 3.721984470188865
100.15330679574122, 0.9578011026103275, 100.01130810943467, 3.390533974566123, 99.3865175886986, 6.76943020856053
124.97270037131642, 1.6024376956284567, 124.1711782177714, 6.176326089318502, 124.17265528512296, 11.374134077387458
150.09805566359967, 1.8857545459567155, 148.5701620488503, 7.997639642000146, 147.16038569809555, 15.765987368221127
174.86227400703035, 2.0883542015724283, 174.89256458101332, 10.145800517922435, 175.95055140756332, 21.748900840949144
200.61247125562386, 2.570202374627152, 197.6251494790422, 11.501578088786552, 196.19298786623733, 22.4488754433097
225.91225214421374, 2.6828549457759094, 223.3548130345716, 16.511763977182948, 227.43878159266302, 24.905528140005273
251.44396822947476, 3.328160506573438, 248.09751758782207, 20.27633339657976, 251.57047124322898, 36.815148180957
