Median, spread, 30ps median, 30ps spread, 50ps median, 50ps spread, 100ps median, 100ps spread
24.09375323636129, 1.1726757276043474, 23.955022835371256, 1.5192361775463477, 23.763091147865914, 1.7948077886643259, 23.829834834889347, 1.665403507171392
48.79097777187298, 4.361742905546253, 48.494671242002795, 4.5054464130665925, 48.95664323888513, 4.645822256384187, 48.485409699403476, 3.6620157869018533
74.41982298161287, 3.996874216898872, 74.81325957268689, 4.5823526111926585, 73.24416521355383, 5.74353981721097, 73.61952483966809, 7.109178374990116
93.40310526215681, 12.961637233792699, 95.90502396120053, 11.4659118374917, 97.83862301506794, 9.148783636956427, 57.42624029235579, 6.236867288197931
116.8456719539654, 13.705168333705206, 119.40950031890225, 13.84300374734559, 112.27162382660086, 16.93840765207721, 116.33961554105254, 18.2437257350204
137.47206142992383, 17.668191647664507, 137.4065816886816, 17.449778581967085, 134.86923695336688, 23.674478974429768, 62.487372609691626, 6.7022471778454165
166.36899147958994, 17.39297015057809, 159.24712002591352, 19.905847880222872, 162.77348709451638, 20.929538649962264, 180.76975072242408, 37.63188552959183
185.80149504536797, 21.154660245172803, 184.69347420876653, 22.380457364571726, 179.84938155985114, 28.548428547297, 181.8092657242325, 28.19764599872493
216.5543794824438, 16.19336644562742, 224.3905217514181, 12.558623151591496, 226.37750423652219, 18.214936154926413, 222.27996630486643, 32.368651564223676
231.12898484823833, 21.330233944023327, 242.79988727188857, 18.876419877090964, 234.03770675010705, 25.899559287443715, 236.73295261459444, 33.47984425950484
