Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector 
252.11339460412478, 2.8530378, 1.1827675000000002, 1, 1
244.3721072524338, 3.4330406, 0.0159, 2, 1
178.42197040519613, 5.122457499999999, 4.567242, 2, 1
254.72508786899812, 0.455061, 3.473663, 3, 4
212.24439880690466, 2.6144299999999996, 4.0148790000000005, 4, 2
180.122644186446, 15.8933039, 4.9872017, 4, 3
254.50763812894706, 0.20288319999999999, 3.478162, 4, 3
158.96644122139696, 10.972797, 5.191547269, 1, 2
253.49504691606012, 0.6214394, 3.303596, 1, 4
253.2952503673764, 1.738361, 3.7581957999999998, 1, 4
249.95676592722862, 0.035563, 3.2792120000000002, 1, 4
249.67001474470544, 4.3523854, 3.33653, 2, 1
240.08347762848098, 4.2810964, 3.28416, 2, 2
245.65458296274142, 1.691163711, 3.634375, 2, 3
246.52486069878591, 2.088463, 3.7845590000000002, 2, 3
241.27780327944265, 3.3442199, 3.38431, 2, 4
248.26888650431874, 3.316208, 3.373388, 3, 2
208.4186039413305, 3.160673, 2.368522, 4, 4
245.23982213002228, 3.7752495, 3.5841977999999997, 1, 3
246.52703086522592, 2.4039842, 0.013003, 2, 1
252.74443393840193, 0.0623593, 4.13312, 2, 3
251.152291202078, 1.10126, 3.5389150000000003, 2, 3
69.47784518887886, 43.546137599999994, 25.3808, 2, 3
247.03984072573644, 2.00052517, 2.1012782, 2, 3
255.66417913026976, 1.32959, 3.09219, 2, 4
252.38487804395777, 1.63902, 3.953597, 3, 4
249.5433482108383, 2.5574479245, 3.8508256999999997, 4, 1
209.13568794655816, 3.9875915, 3.900821, 1, 1
242.5756726310567, 2.2062026, 3.36802, 3, 4
249.3447075750944, 2.1328302000000003, 3.415701, 4, 2
253.62778091805194, 1.633, 3.117871, 4, 3
247.8494469545426, 1.34499, 3.5896745, 1, 1
231.50892663680725, 1.7738909999999999, 0.0133053, 1, 1
242.32708577954122, 2.9171135140000004, 3.5002129, 1, 2
250.31675987280482, 3.2620581500000005, 3.3564257, 2, 2
255.96460699974273, 0.2065763, 3.2460237000000003, 2, 3
250.9546631391736, 2.665851, 3.454657, 2, 4
247.78925505165103, 3.6241581, 3.868675, 3, 2
250.24319038504154, 2.2752654999999997, 3.5125219999999997, 3, 4
248.03395647758134, 0.966898695, 0.01097, 3, 4
251.84485656005654, 0.2930658, 3.3239289000000003, 3, 4
250.45838564348787, 3.743719, 3.7279901, 4, 4
255.38688118964956, 0.111943, 0.9130689999999999, 4, 4
254.35262287008663, 2.173362, 3.9144997999999998, 2, 1
250.2325684865416, 3.342279, 3.286987, 2, 4
249.25897752851074, 0.77869821, 3.7235678, 3, 1
253.4693973396752, 2.24708, 4.066674, 3, 2
256.21245152171286, 0.407669, 3.6265324, 3, 2
252.83258689088234, 1.3582523, 2.0013612, 3, 4
185.173449243709, 21.739568, 4.7994316, 3, 4
250.95897023809152, 2.58975971, 4.2681321, 4, 1
245.1472475690298, 3.541201, 3.410604, 4, 1
247.59915045710432, 0.7426335344, 0.273828, 4, 1
247.89706604910066, 3.094087, 3.6665080000000003, 4, 2
249.7595017909373, 0.8129946, 3.5121700000000002, 4, 3
246.96020761597538, 2.9928727, 3.9371457999999997, 4, 3
254.22617427577256, 0.023111, 3.575284, 1, 1
252.74195893499586, 1.3470467, 1.91856071, 1, 3
251.56971786324516, 0.0405232, 3.32018, 1, 3
247.6855348352865, 2.1635696, 3.7478702999999998, 2, 1
252.81968557304936, 0.0303111, 3.41402, 2, 2
256.1649493530524, 1.2166546, 4.3232651, 2, 3
254.4223650102665, 1.1836239000000002, 4.246977, 2, 3
246.96568050514702, 3.6884623, 3.6424262, 3, 2
248.22518557716853, 0.792219, 3.4801754999999996, 3, 4
248.53434722780003, 2.7262265, 3.6059004, 4, 3
250.73244467003587, 1.70420812, 4.091301, 4, 3
249.08794852675987, 1.6636377800000002, 4.0084851, 4, 3
247.74499220750658, 1.16219956, 3.4761569999999997, 4, 3
252.17519340637523, 0.526341, 3.768096, 4, 4
255.87670100669288, 0.761936, 3.6449052999999996, 4, 4
194.89448449810038, 6.0666080000000004, 4.293018, 4, 4
251.96578105734238, 3.434027, 3.6550632000000003, 4, 4
252.36360450025177, 1.13951, 3.4772644, 1, 1
256.84941941109855, 2.479426, 3.8863919, 1, 1
247.65554489574833, 1.51313, 3.2815, 1, 3
251.32165288191504, 0.2287953, 3.8024911, 2, 1
251.17956405444443, 2.2761048800000006, 4.125277, 2, 3
250.6922787408089, 0.0928605, 0.844729, 2, 3
247.72695362851573, 1.95753, 3.41229, 2, 3
249.46072714506, 2.9783774000000003, 3.3280798000000003, 2, 4
246.19040607975217, 2.3113875, 3.15863, 2, 4
250.36763569056234, 1.6414781999999999, 4.7225975, 3, 3
252.76436831413707, 3.542409, 3.722444, 4, 1
254.40457145962955, 0.0930043, 3.6595866, 4, 1
