Median, spread, 50ps median, 50ps spread, 100ps median, 100ps spread
24.52864453564665, 0.2742761587406228, 24.493172081235148, 0.3985530911149511, 24.438730581100444, 0.5294864941003679
49.894685861013116, 0.3681829658092091, 49.75280692829025, 1.1659363269536471, 49.25169767068016, 2.0664808411929885
75.04962401937442, 0.7395175212791839, 74.71519689471545, 2.412533460793022, 74.16277466072059, 3.859020113324537
100.22824716866431, 0.9582137796561522, 99.50243829028932, 3.9764216954950404, 99.19085565103657, 6.729450013232793
124.85420817049693, 1.4353263903598164, 124.28079492798801, 5.563572993034118, 124.0345343520986, 12.23210107893562
150.33491194321073, 1.6286307944339016, 147.62919542270322, 7.515829592164948, 147.69914763105396, 14.639404999186858
175.4141921407667, 2.479304084880154, 176.5259608471366, 10.184224992954734, 172.87630815446167, 16.103132981312026
200.1361494167374, 2.090066992819875, 198.46265557282607, 10.698780625668865, 200.15756922799068, 20.222992682393222
225.64426311335552, 3.03540859108996, 222.2534625540812, 12.708803329555902, 220.9789239759344, 21.61842446000639
249.64149254451323, 4.128951892555765, 249.5416855456423, 20.25462160022968, 233.18359347906946, 25.47880998871188
