Median, spread, 50ps median, 50ps spread, 100ps median, 100ps spread
25.126364342504537, 0.22173857657121637, 25.070144606979966, 0.36324024925991716, 25.01635994050087, 0.7183707190788972
50.24047472553014, 0.3856923271098416, 50.267885832362985, 1.208491785111767, 50.2955318564315, 2.1572898602986603
75.30683183765187, 0.6286774440531361, 75.56168292077817, 2.484470514501941, 74.49456417169009, 4.707857939612189
100.31789113717412, 1.1416684624327715, 99.8715471210686, 3.610442667502567, 100.37959153540005, 7.201960703210191
125.45614770838367, 1.404145619004492, 125.12660292697916, 5.783289854632635, 124.49528486968453, 11.81793909751211
150.80629749072995, 1.8168486896038516, 149.65323653488764, 6.6439420867341275, 150.43010580314004, 15.386704362426949
175.7749424869273, 1.8881666497840106, 176.70604802142432, 9.401048167056874, 174.25906285079174, 18.520742008596518
201.22653806676405, 2.418336991168245, 199.87847080892135, 13.279113427973764, 202.5809320701218, 24.15252004878463
226.12287112917545, 3.1109328677135966, 224.0860433293104, 17.444485636047663, 219.85562602519866, 28.015601577966084
250.272284870137, 3.568870090186029, 249.31727332985278, 14.267362052807739, 251.57725563998608, 43.09786843883768
250.272284870137, 3.568870090186029, 249.42912373463847, 16.15542153366302, 242.1867206441933, 59.211652741356325
