Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector, front G4 event ID, back G4 event ID 
21.358398940102916, 0.0309885, 3.41628, 7, 21, 4653636, 4653636
210.97906595638096, 1.8780171, 4.611798, 8, 12, 6467877, 6467877
83.47047425869755, 0.621408, 8.211865, 8, 17, 3802478, 3802478
123.67358374746482, 6.1155938, 6.535391000000001, 8, 24, 6313894, 6313894
69.13037612818823, 3.8592272, 9.440112899999999, 9, 3, 2170215, 2170215
16.843295389890727, 2.6683552, 13.8848, 9, 10, 5071714, 5071714
81.94616891316934, 5.3262201, 8.9669402, 10, 3, 5320259, 5320259
40.44319002612997, 3.54062, 20.5251, 10, 17, 985806, 985806
167.6557832043352, 3.488742, 4.944211, 10, 21, 8956991, 8956991
96.54300107601284, 5.025374, 7.526175, 10, 25, 4671726, 4671726
118.69354210763458, 1.03836, 5.9946183, 11, 6, 5555487, 5555487
200.56955873257198, 1.0348185, 4.3060748, 11, 19, 1171141, 1171141
129.95610605205934, 2.1063141770000002, 5.2979180999999995, 11, 21, 1677835, 1677835
204.14114971612798, 2.053844, 4.379612, 12, 2, 7173910, 7173910
311.40543157964953, 0.009320769999999999, 15.6754, 12, 8, 9148391, 9148391
202.9033108977476, 1.094673, 4.0742055, 12, 13, 8227766, 8227766
213.9585712640917, 0.971779, 3.8905547, 14, 14, 4245203, 4245203
25.17834073432971, 0.68346, 23.7098, 14, 20, 2613382, 2613382
10.52973724159915, 0.0654393, 1.58139, 15, 4, 7690827, 7690827
146.18155949716834, 1.745217, 5.4931465, 16, 9, 9908281, 9908281
163.6702537373876, 1.210112, 6.2550387999999995, 16, 10, 3080625, 3080625
213.16049716706038, 2.6971498, 4.367841, 16, 24, 2303454, 2303454
187.73735654906523, 3.6664727999999998, 4.2703264, 18, 17, 7582626, 7582626
142.61897338891117, 1.62512, 5.314673, 19, 13, 6501139, 6501139
39.226193463203344, 5.312087, 25.4182, 19, 22, 8811611, 8811611
86.03895182327233, 0.34761000000000003, 20.9356567, 20, 14, 1396816, 1396816
13.495659070833426, 0.01313, 5.2808, 21, 7, 3050675, 3050675
216.08469963314724, 0.106807, 3.2518981, 21, 8, 8688858, 8688858
50.02086053126345, 6.7358119, 16.2814149, 21, 17, 2301266, 2301266
37.008549011046284, 19.9206, 16.6949, 22, 2, 4760339, 4760339
70.43750484886527, 32.486346700000006, 18.872, 22, 3, 2065570, 2065570
158.1648633596535, 3.6889022, 2.8563441999999997, 22, 7, 220647, 220647
184.7668101875929, 3.982368, 4.35486, 23, 6, 7342341, 7342341
58.92227307376061, 6.80902148, 12.361967499999999, 23, 13, 5115587, 5115587
200.6000568521356, 2.76248, 3.909593, 23, 13, 6869524, 6869524
91.42459942111759, 6.6223616, 4.56122, 24, 2, 9912016, 9912016
211.60391326381023, 1.8876, 1.84632, 24, 10, 7368155, 7368155
104.90484654736883, 0.0166304, 6.848498, 24, 11, 8850672, 8850672
59.85833752493181, 9.8531481, 12.909749799999998, 24, 20, 2501663, 2501663
128.89518590753778, 3.29759, 5.6375988, 25, 1, 4840950, 4840950
182.58828824562875, 0.122153, 5.4347620999999995, 25, 12, 732734, 732734
146.49631233245873, 2.3667643, 2.93276, 25, 17, 4960058, 4960058
15.635704832362876, 0.23047, 13.19027, 25, 22, 1840762, 1840762
32.4467319520154, 9.49568, 1.00363, 1, 10, 7330914, 7330914
77.33984693320974, 7.7784316, 8.931277999999999, 1, 12, 1700664, 1700664
192.80347715257176, 2.3736898600000003, 1.17456, 1, 18, 2856496, 2856496
150.61681347518447, 0.6794035, 2.075397, 1, 19, 7569618, 7569618
103.55203956577725, 2.230352, 7.0525435, 2, 12, 3284417, 3284417
83.23779432795936, 6.2371846, 8.939727, 2, 12, 7564272, 7564272
17.10859867717204, 2.70458, 14.1432, 2, 16, 2946247, 2946247
25.105563116102303, 8.46443517, 16.4414, 3, 9, 854725, 854725
76.43516024580572, 7.4316078, 9.162265900000001, 4, 3, 6530409, 6530409
117.1602933138181, 1.28682, 3.0923187000000003, 4, 18, 7566303, 7566303
512.2782517658648, 1.25929, 2.075397, 5, 19, 7569618, 7569618
153.48955986178044, 1.93414, 5.246889299999999, 5, 23, 5408642, 5408642
76.90906781098317, 2.5725751999999997, 9.0070272, 6, 5, 8225069, 8225069
207.421196733158, 4.0476792999999995, 4.2670974, 6, 9, 5624521, 5624521
166.72658144585102, 24.912350000000004, 4.961627, 6, 20, 2022666, 2022666
47.53135916219151, 0.478175, 5.62151, 7, 10, 7351205, 7351205
171.47065601485974, 2.8034682, 5.186905, 7, 21, 5242767, 5242767
201.54931949010984, 2.305332, 4.55157, 8, 3, 950347, 950347
212.28803815594028, 3.3946829999999997, 3.8398368, 8, 12, 4470920, 4470920
91.20500542717377, 1.30549, 8.7122722, 8, 22, 7138090, 7138090
113.38947594822298, 1.3468229, 6.7201591999999994, 8, 25, 4092758, 4092758
64.3890288113871, 0.707894, 8.5875471, 9, 6, 6905475, 6905475
86.4569457542541, 1.828452, 1.21712, 9, 23, 5693049, 5693049
137.64628467771013, 1.1193778300000001, 5.819914900000001, 10, 12, 1992113, 1992113
80.1601556455596, 8.4590859, 0.31954, 11, 25, 5948326, 5948326
48.24545501115722, 9.559489677, 18.4213128, 12, 10, 2794109, 2794109
18.708338478179144, 6.8690113, 11.4513, 12, 18, 218926, 218926
57.74824861122056, 4.9481385, 12.459522100000001, 12, 19, 5885942, 5885942
223.29572882516823, 5.217956, 4.1445258, 13, 9, 443761, 443761
92.20868920773182, 5.710014500000001, 8.1966486, 13, 10, 568505, 568505
115.97577987387763, 1.989967, 6.1792422, 13, 10, 8634714, 8634714
139.62691351775788, 5.931071, 5.691191, 13, 15, 2134135, 2134135
117.97693102319818, 2.547101, 1.570184, 13, 17, 6163117, 6163117
67.129338460815, 7.08879, 11.4815743, 13, 20, 4280446, 4280446
188.81591457271088, 3.02179, 3.5618486, 13, 22, 4533966, 4533966
228.009009958477, 0.862301, 3.8454378, 14, 2, 1881760, 1881760
45.88574893437021, 6.79424, 18.4111, 14, 2, 4146749, 4146749
45.77130449062156, 9.84395312, 20.6785, 14, 11, 3590698, 3590698
62.62838080167876, 1.0325703229999998, 11.139223900000001, 14, 13, 2326419, 2326419
38.769084709708636, 19.582326000000002, 2.72422, 14, 21, 2139013, 2139013
29.644233578701346, 7.8049403580000005, 21.6421, 15, 14, 3973451, 3973451
18.977261948298633, 0.059381379, 18.6564, 15, 14, 4211468, 4211468
80.02386363471885, 6.3762115, 8.6952815, 16, 7, 5630353, 5630353
130.36868609707085, 5.5444831, 5.918995, 17, 2, 5592343, 5592343
487.8679500144051, 0.108909, 8.939727, 17, 12, 7564272, 7564272
57.752857290605334, 11.2756832, 6.9061785, 17, 20, 4176363, 4176363
219.18702306569912, 1.1281918, 3.2867148999999998, 18, 4, 5278306, 5278306
38.9066752888441, 18.0086025, 20.4457, 18, 24, 5624330, 5624330
115.18274009889547, 4.606550500000001, 6.07097, 19, 8, 2381550, 2381550
16.09004075139285, 0.160301, 13.80595, 19, 21, 8504245, 8504245
204.82455101182882, 1.83623, 3.7924722, 20, 9, 1603086, 1603086
25.308361026061334, 2.147175104, 22.8139, 20, 9, 5006859, 5006859
173.57427772287042, 4.41807001, 5.2504610000000005, 20, 15, 436962, 436962
112.16417581193787, 1.62599, 6.2570310000000005, 21, 22, 7140347, 7140347
171.29704584911997, 2.7024414, 0.4933188, 22, 5, 9273508, 9273508
22.42915576733992, 0.523872, 13.0488, 22, 16, 7844481, 7844481
64.75293545746183, 5.44284, 11.113290000000001, 22, 23, 3338975, 3338975
117.38554255773238, 5.3221, 6.1705190000000005, 23, 11, 3882671, 3882671
84.24284006308187, 4.428759500000001, 6.9629746, 25, 4, 6368329, 6368329
25.959344103876788, 1.07103, 24.3619, 25, 5, 3970549, 3970549
174.5666865820458, 3.291092, 2.830201, 25, 7, 4658578, 4658578
86.53699162831344, 1.5621559999999999, 8.2266568, 25, 10, 7669864, 7669864
66.5561737416142, 1.1658749600000002, 10.5289663, 25, 13, 5617145, 5617145
114.09572902137984, 4.8417749, 1.06744, 25, 19, 6767080, 6767080
19.003720841565382, 0.0422859, 6.07929, 25, 20, 4843616, 4843616
155.76536276134516, 4.673031700000001, 5.0521733, 1, 14, 987532, 987532
45.238413114413106, 2.27003, 15.8586, 1, 25, 1898351, 1898351
66.13047070068842, 9.0252337, 11.9381828, 2, 15, 5870532, 5870532
35.08590496020986, 8.8614552, 25.9319, 3, 17, 1256419, 1256419
129.25504363774166, 2.1436798, 5.38684, 3, 17, 3479679, 3479679
21.993678580359415, 9.23147, 12.4788, 3, 22, 4598668, 4598668
24.3324704363514, 8.41988, 15.6902, 4, 9, 9339288, 9339288
26.893818151447476, 4.16803, 22.211, 4, 17, 2607267, 2607267
52.394707580822114, 6.6841163, 14.0860962, 4, 21, 7681875, 7681875
34.868383704487314, 0.00840476, 14.2129, 6, 2, 3293868, 3293868
136.020677289187, 1.1584510000000001, 5.729845, 6, 2, 4578641, 4578641
125.08643883796458, 3.306408, 6.2231223, 6, 2, 8815092, 8815092
28.495150207944675, 11.1019, 16.906, 6, 19, 8845815, 8845815
146.24888784946756, 0.8230167, 5.0784346, 7, 7, 184481, 184481
181.34511094470417, 2.1311369, 5.789258, 7, 16, 129699, 129699
12.259763786822191, 0.0124568, 3.14783, 7, 23, 1051621, 1051621
200.68167934984535, 2.608601, 4.1660729, 8, 12, 7126816, 7126816
94.01912542675359, 0.00153368, 0.46151, 8, 17, 923074, 923074
12.850085800405054, 0.715616, 11.88, 8, 19, 6991106, 6991106
32.40652038716371, 0.02874, 3.1149066999999997, 8, 21, 5414965, 5414965
59.177705746327774, 4.876442, 13.7153001, 9, 13, 1635437, 1635437
222.59681323805398, 2.196338, 3.9615918000000003, 9, 18, 8919443, 8919443
38.19164447520461, 0.157559, 5.60475, 10, 22, 6251281, 6251281
144.08718442506438, 11.1558229, 4.2105001, 11, 2, 8560671, 8560671
199.31026031903548, 0.153667, 3.90023, 11, 4, 9964546, 9964546
36.21764913731863, 8.55633, 27.1888, 11, 5, 7621698, 7621698
77.86643070496484, 5.8657017, 9.580597, 11, 6, 7602195, 7602195
18.277958592703612, 0.0698521, 7.53918, 11, 12, 3423331, 3423331
22.26415422116827, 1.404991, 20.2306, 12, 16, 8575631, 8575631
163.68141534812344, 2.5170998, 5.1021591, 12, 19, 564927, 564927
50.65640759759606, 9.0901882, 16.1437, 12, 20, 1549456, 1549456
166.34315306836038, 1.7728173999999999, 0.290709, 13, 21, 5850048, 5850048
85.02436512953409, 7.9460633, 0.7658320000000001, 14, 4, 8623652, 8623652
165.0380867280512, 3.1605473, 4.990426599999999, 14, 14, 3329969, 3329969
158.05875029333197, 0.154772, 5.2969425, 14, 20, 4041248, 4041248
95.81538948573507, 4.9695981, 7.528855699999999, 15, 3, 7051621, 7051621
68.62066936667543, 3.790465, 9.982771, 15, 4, 1504721, 1504721
147.39747543992257, 2.94904, 5.7322157, 15, 7, 9470465, 9470465
12.9470731513577, 1.2546560999999998, 11.2854, 15, 20, 9574338, 9574338
69.68660826556527, 7.1521644, 10.4515784, 15, 23, 4134273, 4134273
76.39541572669532, 1.78638, 9.3102691, 16, 2, 276237, 276237
94.17864546050669, 7.6086567, 4.8443972, 16, 9, 7367272, 7367272
49.76281586845744, 0.523775, 13.5146678, 16, 15, 3765467, 3765467
119.50128446234817, 5.5003364999999995, 2.3405307, 17, 18, 8381537, 8381537
31.064833947980674, 1.573856, 1.94046, 18, 4, 3180744, 3180744
10.8133056085627, 0.0188167, 3.54811, 19, 8, 6853207, 6853207
199.62375060685076, 2.8113547, 3.8430414, 19, 10, 2787531, 2787531
125.72447797018322, 2.24203, 4.043291, 19, 10, 9358821, 9358821
21.942574873797867, 4.578, 16.5674, 19, 24, 8199714, 8199714
146.582025829666, 3.92562, 5.406236, 20, 3, 8853875, 8853875
97.00056536008083, 19.9059381, 9.3071845, 20, 11, 1542439, 1542439
106.61504956760882, 4.9767442, 6.891998500000001, 20, 17, 1332225, 1332225
64.35552189853252, 7.8984695, 12.0246996, 21, 25, 1505293, 1505293
163.41839632819665, 3.03755, 1.9181047, 22, 5, 1097533, 1097533
145.37034628552374, 3.03755, 0.092116, 22, 7, 1097533, 1097533
46.45439717202771, 0.0471726, 28.2862, 22, 8, 2407499, 2407499
82.19720787957806, 0.06631733, 15.6902, 23, 9, 9339288, 9339288
153.27385012436162, 3.0084404, 5.2719527, 23, 12, 1402779, 1402779
89.96186442063413, 2.0554617, 8.189453199999999, 23, 21, 4023582, 4023582
21.2662125703215, 0.504864, 0.389773, 25, 20, 1799570, 1799570
18.71817614439351, 2.68552, 15.7639, 1, 4, 8240109, 8240109
72.63901753344032, 4.4834803, 0.719936, 1, 8, 227598, 227598
127.6919826815813, 2.3946851000000002, 5.543256899999999, 2, 1, 5188408, 5188408
56.91310188147668, 3.40313701, 12.3038066, 2, 5, 7295134, 7295134
79.49595410414645, 0.870749, 0.220989, 3, 13, 3188623, 3188623
188.01801261404626, 2.8391025, 4.8776089, 3, 24, 6915484, 6915484
164.6124450264556, 1.4844604199999998, 5.1385627, 5, 4, 5897644, 5897644
180.02265896938866, 1.067823, 2.34534, 5, 11, 6116565, 6116565
41.66429734865039, 14.5714219, 26.7644, 5, 15, 8678187, 8678187
35.71763568927713, 16.14908017, 19.4407, 6, 13, 2794467, 2794467
13.227088924655504, 0.052819830000000005, 5.93743, 6, 19, 8995215, 8995215
13.389809687782986, 3.2164, 9.95753, 6, 24, 1944432, 1944432
203.26100595880143, 2.1466, 4.308938, 7, 4, 9547770, 9547770
121.82778595753894, 2.9788964, 2.86161, 7, 18, 333327, 333327
147.2756906006848, 2.3799921000000004, 2.5903, 9, 23, 1830876, 1830876
84.57376831504632, 5.2648446, 1.35446, 10, 21, 5289191, 5289191
176.77212455606036, 2.852602, 4.364826, 11, 3, 4672944, 4672944
132.66920791397501, 2.3632530000000003, 5.8208877999999995, 11, 19, 7088825, 7088825
129.44438897476175, 4.4825747, 4.5078363999999995, 12, 9, 7598118, 7598118
70.58897530568629, 6.881859400000001, 10.4293303, 12, 16, 9045117, 9045117
82.98927196807779, 0.981575, 4.97887, 13, 11, 8088968, 8088968
58.75327492527265, 7.5144116, 6.873872899999999, 13, 18, 2433828, 2433828
67.21888947487423, 5.292095000000001, 0.53314835, 14, 9, 9955126, 9955126
73.72481928000764, 35.6266368, 19.3378, 14, 21, 4071659, 4071659
129.20057722780894, 5.792814330000001, 5.56870424, 15, 8, 3403835, 3403835
23.9586204685952, 6.54829641, 17.1647, 15, 16, 4500185, 4500185
134.3855372465739, 3.9350414000000002, 5.782419099999999, 16, 1, 7974093, 7974093
64.8887865303401, 5.866664800000001, 11.8235963, 16, 8, 8267266, 8267266
177.73535483905425, 2.0246808, 4.616942, 17, 8, 8926178, 8926178
35.0073936255576, 11.108939399999999, 11.9356, 17, 15, 3198941, 3198941
75.89283563498861, 0.0744142, 0.6818645, 18, 11, 9266661, 9266661
184.09119908347293, 2.853783, 8.43559, 19, 15, 2337804, 2337804
141.50587176167528, 1.0403889, 5.1757979, 20, 1, 7743203, 7743203
142.66017127524196, 0.337618, 5.832134999999999, 20, 5, 2712773, 2712773
46.52895042722969, 5.94991, 17.0669653, 20, 15, 2511360, 2511360
223.6469350839452, 2.928445, 4.0838538, 21, 6, 3639310, 3639310
67.09705287782401, 5.3435179999999995, 2.8674877, 22, 3, 2577432, 2577432
177.81741859455428, 1.153286, 4.931816, 22, 4, 5781594, 5781594
165.063701903342, 2.927399, 1.777686, 22, 25, 4647258, 4647258
72.25086956205655, 8.045935, 10.2880795, 23, 2, 8126177, 8126177
103.39978309687604, 4.6065563, 6.828491, 23, 9, 4780579, 4780579
148.58341182725712, 3.6755767099999996, 5.7861793, 23, 11, 8138469, 8138469
55.99333928799763, 4.9962282, 9.353408, 23, 14, 9972167, 9972167
11.124480496395904, 0.00839325, 3.36577, 24, 7, 976628, 976628
85.41586916506537, 3.74669, 8.8464338, 24, 7, 8031231, 8031231
141.23091213763473, 1.7139345, 5.5876587, 24, 10, 162865, 162865
44.89182817821029, 0.24264276, 26.7644, 24, 15, 8678187, 8678187
170.073505824653, 3.79618867, 4.913321, 24, 24, 7251792, 7251792
199.8864810717821, 1.68342, 3.2313529, 25, 15, 3570448, 3570448
69.56875470976797, 0.0899324, 6.873872899999999, 25, 18, 2433828, 2433828
136.47511656932238, 0.297175, 2.1050635, 25, 18, 5444076, 5444076
153.05534555460144, 0.0753532, 8.3453793, 1, 17, 116110, 116110
50.20722416390868, 9.032195499999998, 16.7313251, 1, 22, 5544317, 5544317
38.89039080953796, 0.54651634, 18.6528, 1, 23, 1307273, 1307273
29.89014106550553, 4.64938216, 24.8883, 2, 3, 3421395, 3421395
144.43190608165423, 0.571556, 5.8089752, 2, 5, 2287093, 2287093
223.15623672949982, 1.35567121, 4.197642, 2, 12, 2156075, 2156075
43.9467501943368, 13.3818116, 24.265773, 2, 17, 6230808, 6230808
136.00963464756978, 3.667368, 5.34029, 4, 9, 7476955, 7476955
218.39644545214742, 0.225285, 4.2682519999999995, 4, 13, 8921466, 8921466
69.2243230566254, 5.3750971000000005, 10.419887899999999, 4, 19, 6188299, 6188299
35.74946464519735, 16.9762, 18.6803, 5, 1, 2188369, 2188369
119.78755096678537, 3.9526901, 5.079541000000001, 5, 7, 8331731, 8331731
180.66530506650474, 2.5022124999999997, 4.7461121, 6, 6, 7551117, 7551117
200.4291211558757, 2.19889019, 4.9750984, 6, 6, 9026128, 9026128
106.82044375014334, 0.6127219, 7.0642677, 6, 7, 955983, 955983
67.53336980084862, 0.02656, 9.1707436, 6, 11, 3188518, 3188518
