Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector 
255.37256113385865, 2.840122, 4.0676248, 1, 1
191.544009903188, 15.8369268, 4.9702829, 1, 1
249.31428640924855, 3.2171940800000005, 3.7048108, 1, 1
248.59605704692922, 0.8797561999999999, 3.37625, 1, 2
247.6064505004531, 1.03221, 3.27242, 1, 4
251.84963807203985, 2.7730838999999996, 3.76541, 1, 4
251.8101619025365, 2.7730838999999996, 0.253153, 1, 4
197.49163214181317, 0.0569048, 0.05237, 2, 3
202.5311218131949, 5.1215459, 3.855524, 3, 2
247.79279672505209, 1.36161, 3.23554, 3, 3
250.23856434308004, 1.9373367, 3.387373, 3, 4
248.15718692789983, 1.4191375000000002, 3.487172, 4, 1
252.02452784984666, 3.1898231999999997, 3.6307397, 1, 1
54.86028444700867, 26.595606999999998, 27.5017, 1, 2
249.30534972552937, 0.0928434, 0.84717278, 1, 3
250.2481822820812, 2.0628266, 3.7263938999999997, 1, 4
246.52922651159747, 1.132037, 3.26494, 2, 1
251.30882268173855, 0.535414, 4.1770817000000005, 2, 1
249.72066397109097, 0.14486100000000002, 3.660227, 2, 1
185.30460578969542, 7.42371, 4.737538, 2, 2
246.45704488142633, 2.5352518999999996, 3.48777, 2, 2
219.368026638542, 8.668571, 3.8632884, 3, 3
254.93227919093283, 0.26299821, 3.4769208, 3, 4
247.649486717155, 3.54760157, 3.522346, 4, 2
245.74340470832385, 2.2765050000000002, 3.203943, 1, 2
241.87288087594902, 3.5380893, 3.32025, 1, 4
248.61389486417806, 2.728289, 3.5674143999999997, 3, 1
221.88743795093478, 1.970148, 4.2493826, 3, 4
253.5750382649785, 0.0198486, 3.3114567, 4, 2
254.9577404103925, 0.35569670000000003, 3.4346829999999997, 4, 2
251.59331402086013, 0.30067304, 3.9458878, 4, 3
203.87068007967173, 3.15421, 3.89023, 1, 1
247.55162327698554, 0.505955, 3.30644, 1, 4
242.84704770089388, 3.1887986, 3.43786, 1, 4
251.55333917771145, 3.1855882, 3.4354810000000002, 2, 1
220.87589951321274, 3.7776522, 3.7363489999999997, 2, 3
246.91551044654761, 1.3190997, 0.0081205, 2, 4
245.2018136937561, 3.1039529999999997, 3.075142, 2, 4
219.01924859293308, 12.713847099999999, 3.7966649, 3, 2
245.2167118592863, 2.8965631, 3.31805, 3, 3
249.56784263185818, 1.1758045, 3.4375693, 4, 1
250.13042718867246, 1.8053138999999998, 4.060796, 4, 3
243.44990344600387, 0.00636117, 23.991960000000002, 4, 3
246.21548433769067, 1.928711, 3.31685, 4, 3
248.93898505668972, 1.151114228, 3.538238, 1, 2
253.76751907668722, 0.6663204799999999, 4.2335263, 2, 1
248.1607217691469, 3.6303984000000002, 3.5166399999999998, 2, 1
243.47086188080857, 2.6228987999999998, 3.415174, 2, 2
247.8274577825705, 3.25078, 3.21949, 2, 2
247.9310377747936, 2.13995, 3.5497940000000003, 2, 3
256.346611689572, 0.0816245, 3.8111096, 3, 4
246.71230753241002, 2.9246214000000004, 4.228232, 1, 1
241.30544477680587, 2.9164269, 3.419658, 1, 2
256.2437530459529, 0.400458, 3.619913, 1, 3
251.87924977371608, 2.3645, 3.7658303600000003, 2, 1
249.49393894018317, 3.603176, 4.349159, 2, 1
253.40352246340217, 1.501644, 4.059545, 2, 2
82.05729333332738, 17.133125999999997, 0.0967325, 2, 2
252.92501835067196, 1.6024447, 3.8206189999999998, 2, 3
206.40633194212614, 5.3555742, 4.6300259, 2, 4
254.4245866860631, 1.8819805, 3.7962347, 3, 1
254.33041274226252, 1.8819805, 0.608852, 3, 1
251.18177003686856, 1.1581573, 3.4512159999999996, 3, 2
255.71105021838207, 0.575908, 4.0987433, 3, 2
248.00232608893634, 2.8654472999999996, 3.38808, 4, 4
75.9355650912197, 18.27104, 2.8389728, 1, 3
243.55434890792867, 3.191478, 3.33752, 2, 3
256.30128199600153, 0.900103, 4.4982574, 2, 3
254.21597262173077, 3.169986, 3.499212, 3, 4
251.29650589270022, 0.1501542, 3.5397596, 4, 3
238.25768401121582, 4.4346179999999995, 0.015096, 4, 4
246.63491795847108, 0.5287909000000001, 3.32951, 4, 4
252.4982719953066, 0.6740821, 3.39842, 1, 1
252.3826671629538, 1.436578, 3.5588233, 1, 3
244.46203524787347, 3.6763745, 3.6967665, 2, 1
240.13080784546446, 3.58592783, 3.25225, 2, 1
246.7263169688631, 3.3609916153, 3.39719, 2, 3
254.4230082905476, 1.76671, 3.9634438000000003, 2, 4
242.7162185804391, 3.08404722, 3.45245, 3, 1
255.1023762424545, 0.0826395, 4.1810403, 3, 3
250.38474388339, 3.19259, 3.5190955, 4, 1
248.74834250006893, 2.6172594780000003, 3.7301916, 4, 2
248.9552134554226, 3.0574130999999998, 3.962539, 1, 4
249.03668568106264, 2.7029837100000003, 3.438611, 2, 3
244.11999102392906, 3.20107, 3.7344171, 2, 4
250.603163076511, 1.231321, 3.8702514, 3, 2
256.0518210517628, 1.60508, 4.0086242, 4, 1
254.3653362286766, 1.3694092, 3.8690026, 4, 2
247.10204380697905, 1.46172411, 3.959527, 4, 3
248.84794772882037, 3.7005155999999997, 3.6327099, 1, 1
254.85859494463784, 0.45186404999999996, 3.6782178, 1, 2
245.08811433273877, 2.608818, 3.26873, 1, 3
255.54588806234392, 0.108963, 3.336085, 1, 4
252.3951824410044, 1.35655802, 3.8941256, 2, 1
252.19949730405938, 2.9445572, 4.0514389, 2, 2
250.6991271630602, 1.535953, 3.682693, 2, 2
254.17177755858233, 0.217913, 3.5222712, 3, 1
