Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector 
24.37151073176267, 23.1567, 0.79236, 1, 1
47.04744099954621, 0.00591962, 0.79236, 1, 1
41.5017131772978, 5.4906074, 21.4745, 1, 1
140.16589525106224, 2.0580380000000003, 1.9677962, 2, 2
119.30485940154585, 0.246284, 7.6423258999999995, 2, 2
69.5868755307531, 7.40995161, 11.035445099999999, 2, 4
68.15673619110578, 6.9342138, 10.9421993, 2, 4
6.32339436749146, 0.0281631, 0.79236, 4, 1
33.160924267060295, 0.141852, 13.976, 4, 1
84.19819499886842, 5.025259479999999, 8.472784, 4, 2
130.02376508185853, 3.8396660999999996, 6.215235900000001, 4, 2
63.753788082399296, 4.02632, 11.137019200000001, 4, 2
79.36019638467349, 5.7563574, 9.343467200000001, 4, 3
52.31783444572318, 3.03880197, 14.1532079, 4, 4
